CustomerID,Recency,Frequency,Monetary
12362,NULL,1,130.00
12533,NULL,1,929.92
12615,NULL,1,-5.95
12636,NULL,1,141.00
12682,NULL,1,426.30
12913,NULL,1,537.96
12931,NULL,1,1160.00
13078,NULL,1,630.33
13085,NULL,2,651.10
13293,NULL,1,-12.60
13394,NULL,1,304.53
13635,NULL,1,382.37
13758,NULL,1,996.10
13767,NULL,1,1197.80
13916,NULL,1,-15.30
14040,NULL,1,633.33
14110,NULL,1,285.06
14292,NULL,1,-17.90
14341,NULL,1,281.82
14748,NULL,1,-4.25
14871,NULL,1,145.00
14911,NULL,1,733.63
15061,NULL,2,3274.74
15091,NULL,1,-11.80
15299,NULL,1,-28.00
15311,NULL,1,823.02
15362,NULL,1,310.75
15413,NULL,1,570.24
15461,NULL,1,-38.40
15614,NULL,1,-12.75
15712,NULL,1,255.50
15796,NULL,1,-36.58
15998,NULL,1,700.31
16011,NULL,2,179.30
16128,NULL,1,-43.95
16167,NULL,1,485.79
16321,NULL,2,0.00
16329,NULL,1,282.46
16393,NULL,1,367.41
16714,NULL,1,-7.95
17238,NULL,1,251.10
17519,NULL,1,308.44
17592,NULL,2,0.00
17700,NULL,1,696.73
17804,NULL,1,124.95
17865,NULL,1,589.33
17984,NULL,1,229.46
18087,NULL,2,394.74
18102,NULL,1,2286.24
